Start time:, 1647331307195166870
End time:, 1647331308045577516
Total time:, 850410646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
customers, 2, 12, 877, 0.000103, 73, 116, 36
customers, 1, 12, 848, 0.000100, 70, 110, 35
customers, 2, 12, 880, 0.000103, 73, 113, 36
customers, 1, 12, 902, 0.000106, 75, 115, 28
customers, 2, 12, 870, 0.000102, 72, 110, 35
customers, 1, 12, 943, 0.000111, 78, 168, 36
customers, 2, 12, 852, 0.000100, 71, 110, 28
customers, 1, 12, 854, 0.000100, 71, 110, 35
customers, 2, 12, 865, 0.000102, 72, 110, 36
customers, 1, 12, 849, 0.000100, 70, 110, 35
customers, 2, 12, 845, 0.000099, 70, 110, 36
customers, 1, 12, 840, 0.000099, 70, 110, 28
customers, 2, 12, 843, 0.000099, 70, 110, 35
customers, 1, 12, 831, 0.000098, 69, 107, 35
customers, 2, 12, 845, 0.000099, 70, 107, 29
customers, 1, 12, 820, 0.000096, 68, 107, 28
customers, 2, 12, 844, 0.000099, 70, 113, 28
customers, 1, 12, 839, 0.000099, 69, 110, 35
customers, 2, 12, 837, 0.000098, 69, 110, 35
customers, 1, 12, 823, 0.000097, 68, 110, 27
customers, 2, 12, 837, 0.000098, 69, 110, 28
customers, 1, 12, 848, 0.000100, 70, 110, 36
customers, 2, 12, 842, 0.000099, 70, 110, 35
customers, 1, 12, 864, 0.000102, 72, 107, 28
customers, 2, 12, 879, 0.000103, 73, 110, 35
customers, 1, 12, 861, 0.000101, 71, 107, 36
customers, 2, 12, 843, 0.000099, 70, 110, 35
customers, 1, 12, 838, 0.000099, 69, 110, 35
customers, 2, 12, 873, 0.000103, 72, 110, 36
customers, 1, 12, 881, 0.000104, 73, 163, 28
customers, 2, 12, 854, 0.000100, 71, 117, 36
customers, 1, 12, 826, 0.000097, 68, 114, 27
customers, 2, 12, 846, 0.000099, 70, 110, 35
customers, 1, 12, 839, 0.000099, 69, 107, 35
customers, 2, 12, 857, 0.000101, 71, 110, 35
customers, 1, 12, 821, 0.000097, 68, 107, 29
customers, 2, 12, 850, 0.000100, 70, 117, 34
customers, 1, 12, 847, 0.000100, 70, 114, 35
customers, 2, 12, 852, 0.000100, 71, 110, 36
customers, 1, 12, 788, 0.000093, 65, 107, 35
customers, 2, 12, 759, 0.000089, 63, 110, 28
customers, 1, 12, 759, 0.000089, 63, 113, 35
customers, 2, 12, 763, 0.000090, 63, 110, 28
customers, 1, 12, 818, 0.000096, 68, 120, 28
customers, 2, 12, 822, 0.000097, 68, 130, 35
customers, 1, 12, 765, 0.000090, 63, 107, 35
customers, 2, 12, 790, 0.000093, 65, 110, 28
customers, 1, 12, 746, 0.000088, 62, 107, 29
customers, 2, 12, 778, 0.000091, 64, 107, 36
customers, 1, 12, 755, 0.000089, 62, 107, 28
customers, 2, 12, 769, 0.000090, 64, 110, 36
customers, 1, 12, 772, 0.000091, 64, 117, 35
customers, 2, 12, 774, 0.000091, 64, 107, 36
customers, 1, 12, 754, 0.000089, 62, 106, 27
customers, 2, 12, 701, 0.000082, 58, 103, 34
customers, 1, 12, 683, 0.000080, 56, 107, 29
customers, 2, 12, 688, 0.000081, 57, 106, 29
customers, 1, 12, 673, 0.000079, 56, 106, 27
customers, 2, 12, 693, 0.000081, 57, 107, 35
customers, 1, 12, 689, 0.000081, 57, 110, 35
customers, 2, 12, 713, 0.000084, 59, 113, 36
customers, 1, 12, 687, 0.000081, 57, 107, 28
customers, 2, 12, 686, 0.000081, 57, 106, 29
customers, 1, 12, 698, 0.000082, 58, 113, 35
customers, 2, 12, 650, 0.000076, 54, 88, 35
customers, 1, 12, 618, 0.000073, 51, 86, 28
customers, 2, 12, 621, 0.000073, 51, 85, 29
customers, 1, 12, 681, 0.000080, 56, 107, 35
customers, 2, 12, 695, 0.000082, 57, 105, 35
customers, 1, 12, 654, 0.000077, 54, 104, 35
customers, 2, 12, 641, 0.000075, 53, 101, 28
customers, 1, 12, 624, 0.000073, 52, 107, 29
customers, 2, 12, 640, 0.000075, 53, 104, 28
customers, 1, 12, 678, 0.000080, 56, 104, 35
customers, 2, 12, 671, 0.000079, 55, 104, 28
customers, 1, 12, 597, 0.000070, 49, 86, 28
customers, 2, 12, 625, 0.000073, 52, 88, 35
customers, 1, 12, 620, 0.000073, 51, 88, 28
customers, 2, 12, 633, 0.000074, 52, 88, 35
customers, 1, 12, 625, 0.000073, 52, 83, 35
customers, 2, 12, 626, 0.000074, 52, 88, 35
customers, 1, 12, 614, 0.000072, 51, 85, 27
customers, 2, 12, 618, 0.000073, 51, 86, 29
customers, 1, 12, 620, 0.000073, 51, 85, 35
customers, 2, 12, 617, 0.000073, 51, 85, 28
customers, 1, 12, 615, 0.000072, 51, 86, 35
customers, 2, 12, 634, 0.000075, 52, 86, 28
customers, 1, 12, 609, 0.000072, 50, 85, 30
customers, 2, 12, 621, 0.000073, 51, 88, 29
customers, 1, 12, 637, 0.000075, 53, 85, 35
customers, 2, 12, 636, 0.000075, 53, 88, 35
customers, 1, 12, 607, 0.000071, 50, 88, 29
customers, 2, 12, 622, 0.000073, 51, 88, 34
customers, 1, 12, 650, 0.000076, 54, 105, 35
customers, 2, 12, 629, 0.000074, 52, 88, 35
customers, 1, 12, 611, 0.000072, 50, 85, 29
customers, 2, 12, 630, 0.000074, 52, 86, 29
customers, 1, 12, 615, 0.000072, 51, 85, 35
customers, 2, 12, 639, 0.000075, 53, 88, 35
customers, 1, 12, 611, 0.000072, 50, 83, 34
customers, 2, 12, 744, 0.000087, 62, 128, 37
customers, 1, 12, 626, 0.000074, 52, 88, 35
customers, 2, 12, 636, 0.000075, 53, 85, 36
