Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction ends, smokers, 0, 23, 0, 31, 1837855, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 32, 1838348, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 32, 1838620, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 32, 1839681, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 32, 1842055, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 33, 1845471, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 33, 1845751, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 33, 1846956, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 33, 1848817, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 34, 1849356, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 34, 1849631, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 34, 1850802, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 34, 1852447, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 35, 1852988, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 35, 1853260, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 35, 1854439, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 35, 1857308, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 36, 1857842, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 36, 1858138, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 36, 1859356, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 36, 1859994, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 37, 1860524, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 37, 1860810, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 37, 1862007, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 37, 1865887, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 38, 1866418, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 38, 1866700, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 38, 1867837, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 38, 1871786, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 39, 1872330, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 39, 1872613, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 39, 1873868, NO TRIGGER, 0
