Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, smokers, 0, 0, 0, 48, 512148, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 48, 515128, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 49, 515734, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 49, 515958, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 49, 516071, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 49, 517461, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 49, 519615, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 50, 520235, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 50, 520448, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 50, 520565, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 50, 521898, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 50, 522518, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 51, 523128, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 51, 523341, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 51, 523458, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 51, 524831, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 51, 525371, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 52, 525985, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 52, 526195, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 52, 526311, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 52, 527731, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 52, 529068, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 53, 529748, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 53, 529985, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 53, 530101, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 53, 531551, NO TRIGGER, 0
